Date(UTC+1),Method,Amount,Price,Fees,Final Amount,Status,Transaction ID
2021-12-11 15:33:35,Credit Card,25.00 EUR,0.0753389 VET/EUR,0.51 EUR,325.06448831 VET,Completed,N01166176084914990080121178
2021-12-04 17:48:15,Credit Card,50.00 EUR,1.71101908 MATIC/EUR,1.00 EUR,28.63790393 MATIC,Completed,N01163673259588838400120478
2021-11-29 22:53:11,Credit Card,120.00 EUR,121.00375828 AXS/EUR,2.40 EUR,0.97187064 AXS,Completed,N01161938061016804352112978
2021-11-29 17:59:11,Credit Card,50.00 EUR,0.10623624 VET/EUR,1.00 EUR,461.23620439 VET,Completed,de7dbc2271cc475ab578be6659b1d1da
2021-11-29 17:55:21,Credit Card,50.00 EUR,1.4317537 ADA/EUR,1.00 EUR,34.2237636 ADA,Completed,b287cd647e2845aab962c71fce99e424
2021-11-16 08:59:15,Credit Card,50.00 EUR,1.72929373 ADA/EUR,1.00 EUR,28.3352673 ADA,Completed,e07ba1e1878a4172ae8b4334066d7614
2021-11-04 08:58:07,Credit Card,50.00 EUR,1.7256841 MATIC/EUR,1.00 EUR,28.39453646 MATIC,Completed,f9fd082db37b441b965dce9fbd2da0af
2021-10-30 15:22:07,Credit Card,50.00 EUR,0.00006203 SHIB/EUR,1.00 EUR,789941.55 SHIB,Completed,72b73d18c71b4e9aae7a70c3416962ca
2021-10-29 14:54:41,Credit Card,120.00 EUR,53247.36479878 BTC/EUR,2.40 EUR,0.00220856 BTC,Completed,N01150583616022592512102978
2021-10-27 10:42:49,Credit Card,100.00 EUR,1.70630512 ADA/EUR,2.00 EUR,57.43404217 ADA,Completed,N01149795456246166528102778
2021-10-19 11:38:18,Cash Balance,67.00 EUR,0.10073309 VET/EUR,0.00 EUR,665.12404462 VET,Completed,08d2da3664c94871ba9c25aff2875b76
2021-10-19 11:37:22,Cash Balance,40.00 EUR,0.27431325 CHZ/EUR,0.00 EUR,145.81869287 CHZ,Completed,6f55b2536af9480790ea1cfe58a162ef
2021-10-17 22:58:55,Cash Balance,50.00 EUR,0.1047253 VET/EUR,0.05 EUR,476.96211687 VET,Completed,1af6ec22ceb048e3943a22b861cb88f6
2021-10-17 22:53:16,Cash Balance,40.00 EUR,0.26932404 CHZ/EUR,0.04 EUR,148.37145366 CHZ,Completed,d8e4064e189b407dabcf72bdd1a2c9eb
2021-10-17 22:49:53,Cash Balance,100.00 EUR,1.8396441 ADA/EUR,0.10 EUR,54.30398244 ADA,Completed,e9c07e3aec2a48f084e063bb3c1f9e09
2021-10-17 22:49:20,Credit Card,50.00 EUR,0.00002177 SHIB/EUR,1.00 EUR,2251263.69 SHIB,Failed,a2360986528a48b9a73c99958127e167
2021-10-17 22:45:50,Cash Balance,50.00 EUR,1.8436498 ADA/EUR,0.05 EUR,27.09299721 ADA,Completed,141e3c55673b43a3b92975f29f6c9f17
2021-10-17 15:18:18,Credit Card,30.00 EUR,0.00002229 SHIB/EUR,0.60 EUR,1318759.62 SHIB,Completed,b0d66c9d2aec427ea696aeb5cfa46e9a
2021-10-17 15:17:47,Credit Card,50.00 EUR,0.0000223 SHIB/EUR,1.00 EUR,2196979.8 SHIB,Failed,571566840e234c1080d7fbea48197990
2021-10-16 17:29:33,Credit Card,30.00 EUR,0.28139948 CHZ/EUR,0.60 EUR,104.47780355 CHZ,Completed,N01145911547305461760101678
2021-10-16 17:20:51,Credit Card,30.00 EUR,0.10597322 VET/EUR,0.60 EUR,277.42859125 VET,Completed,e2b7a9fccf5e4854aa35c29e11640a3f
2021-10-16 17:12:04,Credit Card,30.00 EUR,1.92129708 ADA/EUR,0.60 EUR,15.30216241 ADA,Completed,N01145907150345277440101678
2021-10-10 12:21:54,Credit Card,25.00 EUR,1.96280527 ADA/EUR,0.51 EUR,12.47704006 ADA,Completed,3a2573f273964096aa093f67e36c1d6c
2021-10-10 12:19:52,Credit Card,25.00 EUR,0.10115018 VET/EUR,0.51 EUR,242.11524975 VET,Completed,bca4b798c6494c42b40e6b2e7cbd5c1f
